Project ID,Strategy Score,Risk Score,Risk - # of Vendors Contributing,Risk - Business Problem Clearly Defined,Risk - Business Processes Impacted,Risk - Impact to Key Financial Application,Risk - Level of User Change Management,Risk - Market,"Risk - New Product, Functionality or Service",Risk - Outside US or Marketing Area,Risk - Reputation or Shareholder Value Affected,Risk - Stand-Alone Project will Cost $10M,Type,Primary Support Strategy,Support for Reducing Costs,Support for Increased Productivity,Support for External Customers,Support for Internal Customers,Support for Competitive Differentiation,Mandatory?,Business Priority,Forced Rank,Risk Eval,Risk - Acceptance,Risk - Skills / Capability,Risk - Complexity,Risk - Product / Technology,Risk - Planning
CS-L40259627,36,43,Low,Low,Med,Med,Low,Low,Med,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Weak,Very Strong,Strong,Strong,Moderate,No,,,50,Low,Med,Low,Med,Low
CS-L40910412,87,77,Med,Low,Med,High,Med,High,High,Med,High,Med,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Strong,Weak,Weak,Weak,No,,,83,High,Med,Med,High,Low
CS-L40917442,53,67,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,IT Waterfall traditional implementation,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,[None],No,,,67,Med,Med,Med,Med,Med
CS-L40925446,51,43,Low,Med,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Mandatory,Strong,Very Strong,Strong,Very Strong,No,,,50,Med,Low,Low,Low,Med
CS-M40217622,63,57,Low,Med,High,Med,Low,Med,Med,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,Weak,Yes,,,83,Med,High,Low,Med,Med
CS-M40280628,43,43,Low,Low,Med,Med,Low,Low,Med,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Weak,Very Strong,Strong,Strong,Moderate,No,,,50,Low,Med,Low,Med,Low
CS-M40350640,75,43,Low,Low,Med,Med,Low,Low,Med,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Weak,Very Strong,Strong,Strong,Moderate,No,,,50,Low,Med,Low,Med,Low
CS-M40603686,76,53,Med,Med,Med,Low,Med,Low,Low,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Moderate,Strong,Strong,Strong,Weak,,,,50,Low,Med,Med,Low,Med
CS-M40786297,51,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Mandatory,Mandatory,Strong,Very Strong,Mandatory,Yes,,,33,Low,Low,Low,Low,Low
CS-M40848309,61,43,Low,Med,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Mandatory,Strong,Very Strong,Strong,Very Strong,No,,,50,Med,Low,Low,Low,Med
CS-M40909751,31,73,High,Low,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Reducing Costs,Mandatory,Very Strong,Very Strong,Moderate,Strong,,,,50,Med,Low,High,Med,Low
CS-M40909756,66,70,Med,High,Med,High,Med,Low,High,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Mandatory,Very Strong,,,,50,Low,Med,Med,High,High
CS-M40909774,63,57,Low,Med,High,Med,Low,Med,Med,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,Weak,Yes,,,83,Med,High,Low,Med,Med
CS-M40910803,70,30,-,High,-,-,-,High,-,-,High,-,Six Sigma Kaizen event,Support for Reducing Costs,Very Strong,Strong,Moderate,Strong,Weak,No,,,50,High,-,-,-,High
CS-M40910807,35,40,Med,Low,Low,Low,Med,-,Low,Med,-,Med,Six Sigma Kaizen event,Support for Reducing Costs,Mandatory,Very Strong,Strong,Strong,Strong,,,,17,-,Low,Med,Low,Low
CS-M41365869,56,80,High,Med,Med,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Moderate,Very Strong,,,,67,Med,Med,High,Med,Med
CS-M42248879,56,80,High,High,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Very Strong,Weak,Moderate,Very Strong,Yes,,,50,Med,Low,High,Med,High
CS-N40767287,51,40,Low,Low,Low,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for Internal Customers,Moderate,Very Strong,Moderate,Mandatory,Moderate,,,,33,Low,Low,Low,Med,Low
CS-N40785296,76,60,High,Low,Low,Low,High,Low,Low,High,Low,High,IT Waterfall traditional implementation,Support for Increased Productivity,Moderate,Strong,Moderate,Weak,Moderate,Yes,,,33,Low,Low,High,Low,Low
CS-O40392645,56,57,Low,Med,High,Med,Low,Med,Med,Low,Med,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,Weak,Yes,,,83,Med,High,Low,Med,Med
CS-O40544254,57,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Moderate,Weak,Moderate,No,,,33,Low,Low,Low,Low,Low
CS-O40575261,78,67,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,IT Waterfall traditional implementation,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,[None],No,,,67,Med,Med,Med,Med,Med
CS-O40766286,43,80,High,High,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Very Strong,Weak,Moderate,Very Strong,Yes,,,50,Med,Low,High,Med,High
CS-O4077052,55,80,High,High,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Very Strong,Weak,Moderate,Very Strong,Yes,,,50,Med,Low,High,Med,High
CS-O40817724,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS-O40909775,91,77,High,High,Med,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for External Customers,Strong,Moderate,Strong,Weak,Moderate,,,,67,Med,Med,High,Low,High
CS-O40909784,27,70,High,Med,Low,Low,High,Med,Low,High,Med,High,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Weak,Weak,Weak,,,,50,Med,Low,High,Low,Med
CS-O40909785,91,77,Med,Med,Low,High,Med,High,High,Med,High,Med,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Moderate,Strong,Strong,Very Strong,,,,67,High,Low,Med,High,Med
CS-P400282,76,47,Low,Low,Low,Med,Low,Med,Med,Low,Med,Low,IT Waterfall traditional implementation,Support for Reducing Costs,Very Strong,Moderate,Strong,Weak,Moderate,No,,,50,Med,Low,Low,Med,Low
CS-P4039211,33,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Strong,Weak,Strong,Very Strong,No,,,33,Low,Low,Low,Low,Low
CS-P40483654,43,80,High,Med,Med,Med,High,Med,Med,High,Med,High,Six Sigma Kaizen event,Support for Internal Customers,Weak,Weak,Weak,Strong,Weak,Yes,,,67,Med,Med,High,Med,Med
CS-P40818306,47,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Moderate,Weak,Moderate,No,,,33,Low,Low,Low,Low,Low
CS-P40909757,54,70,Med,High,Med,High,Med,Low,High,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Mandatory,Very Strong,,,,50,Low,Med,Med,High,High
CS-P40909766,65,67,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,IT Waterfall traditional implementation,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,[None],No,,,67,Med,Med,Med,Med,Med
CS-P40909772,91,77,Med,Low,Med,High,Med,High,High,Med,High,Med,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Strong,Weak,Weak,Weak,No,,,83,High,Med,Med,High,Low
CS-P40910122,40,70,High,Med,Low,Low,High,Med,Low,High,Med,High,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Weak,Weak,Weak,,,,50,Med,Low,High,Low,Med
CS-P40980201,40,70,Med,High,Med,High,Med,Low,High,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Mandatory,Very Strong,,,,50,Low,Med,Med,High,High
CS-Q40374644,67,73,High,Low,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Reducing Costs,Mandatory,Very Strong,Very Strong,Moderate,Strong,,,,50,Med,Low,High,Med,Low
CS-R4054421,93,80,High,Med,Med,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Moderate,Very Strong,,,,67,Med,Med,High,Med,Med
CS-R40544667,40,70,Med,Med,Low,Med,Med,High,Med,Med,High,Med,IT Waterfall traditional implementation,Support for Reducing Costs,Strong,Moderate,Weak,Moderate,Weak,,,,67,High,Low,Med,Med,Med
CS-R40802302,67,73,High,Low,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Reducing Costs,Mandatory,Very Strong,Very Strong,Moderate,Strong,,,,50,Med,Low,High,Med,Low
CS-R40909741,55,77,Med,Low,Med,High,Med,High,High,Med,High,Med,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Strong,Weak,Weak,Weak,No,,,83,High,Med,Med,High,Low
CS-R40909748,40,70,Med,High,Med,High,Med,Low,High,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Mandatory,Very Strong,,,,50,Low,Med,Med,High,High
CS-S39272597,62,57,Med,Low,Med,Med,Med,Low,Med,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Moderate,Strong,No,,,50,Low,Med,Med,Med,Low
CS-S402386,43,77,Med,Low,Med,High,Med,High,High,Med,High,Med,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Strong,Weak,Weak,Weak,No,,,83,High,Med,Med,High,Low
CS-S40483656,91,77,Med,Low,Med,High,Med,High,High,Med,High,Med,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Strong,Weak,Weak,Weak,No,,,83,High,Med,Med,High,Low
CS-S40756712,53,50,Low,Med,High,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Moderate,Mandatory,Strong,Weak,No,,,67,Low,High,Low,Med,Med
CS-S40770289,45,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS-S40840726,49,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Moderate,Weak,Moderate,No,,,33,Low,Low,Low,Low,Low
CS-S40909745,60,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Mandatory,Mandatory,Strong,Very Strong,Mandatory,Yes,,,33,Low,Low,Low,Low,Low
CS-S40909746,63,57,Med,Low,Med,Med,Med,Low,Med,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Moderate,Strong,No,,,50,Low,Med,Med,Med,Low
CS-S40909750,41,73,High,Low,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Reducing Costs,Mandatory,Very Strong,Very Strong,Moderate,Strong,,,,50,Med,Low,High,Med,Low
CS-S40909763,43,77,Med,Med,Low,High,Med,High,High,Med,High,Med,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Moderate,Strong,Strong,Very Strong,,,,67,High,Low,Med,High,Med
CS-S40909764,74,40,Med,Low,Low,Low,Med,-,Low,Med,-,Med,Six Sigma Kaizen event,Support for Reducing Costs,Mandatory,Very Strong,Strong,Strong,Strong,,,,17,-,Low,Med,Low,Low
CS-S40909776,54,70,Med,High,Med,High,Med,Low,High,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Mandatory,Very Strong,,,,50,Low,Med,Med,High,High
CS-S41275850,86,73,High,Low,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Reducing Costs,Mandatory,Very Strong,Very Strong,Moderate,Strong,,,,50,Med,Low,High,Med,Low
CS-S41306866,43,80,High,Med,Med,Med,High,Med,Med,High,Med,High,Six Sigma Kaizen event,Support for Internal Customers,Weak,Weak,Weak,Strong,Weak,Yes,,,67,Med,Med,High,Med,Med
CS-T40755706,59,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Weak,Weak,Moderate,Moderate,Moderate,No,,,33,Low,Low,Low,Low,Low
CS-T40909753,66,70,High,Med,Low,Low,High,Med,Low,High,Med,High,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Weak,Weak,Weak,,,,50,Med,Low,High,Low,Med
CS-T40909781,74,40,Low,Low,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for External Customers,Moderate,Weak,Mandatory,Weak,Strong,,,,50,Med,Low,Low,Low,Low
CS-T40969458,51,40,Low,Low,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for External Customers,Moderate,Weak,Mandatory,Weak,Strong,,,,50,Med,Low,Low,Low,Low
CS-U40365249,43,57,Med,Low,Med,Med,Med,Low,Med,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Moderate,Strong,No,,,50,Low,Med,Med,Med,Low
CS-U40544666,87,77,Med,Med,Low,High,Med,High,High,Med,High,Med,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Moderate,Strong,Strong,Very Strong,,,,67,High,Low,Med,High,Med
CS-W39814236,77,63,High,Med,Low,Low,High,Low,Low,High,Low,High,Six Sigma Kaizen event,Support for Internal Customers,Very Strong,Strong,Strong,Mandatory,Moderate,,,,33,Low,Low,High,Low,Med
CS-W40553677,79,67,High,Low,Low,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Strong,Very Strong,No,,,50,Med,Low,High,Low,Low
CS-W40665275,38,77,Med,Low,Med,High,Med,High,High,Med,High,Med,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Strong,Weak,Weak,Weak,No,,,83,High,Med,Med,High,Low
CS-W40729705,64,63,High,Med,Low,Low,High,Low,Low,High,Low,High,Six Sigma Kaizen event,Support for Internal Customers,Very Strong,Strong,Strong,Mandatory,Moderate,,,,33,Low,Low,High,Low,Med
CS-W40909755,35,40,Low,Low,Low,Med,Low,Low,Med,Low,Low,Low,IT Waterfall traditional implementation,Support for Internal Customers,Moderate,Very Strong,Moderate,Mandatory,Moderate,,,,33,Low,Low,Low,Med,Low
CS-W40910805,73,40,Low,Low,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for External Customers,Moderate,Weak,Mandatory,Weak,Strong,,,,50,Med,Low,Low,Low,Low
CS-W41305529,43,77,Med,Low,Med,High,Med,High,High,Med,High,Med,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Strong,Weak,Weak,Weak,No,,,83,High,Med,Med,High,Low
M-F41001168,34,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Weak,Weak,Moderate,Moderate,Moderate,No,,,33,Low,Low,Low,Low,Low
MM-E40945154,53,57,Med,Low,Med,Med,Med,Low,Med,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Moderate,Strong,No,,,50,Low,Med,Med,Med,Low
MM-R4090968,91,77,Med,Med,Low,High,Med,High,High,Med,High,Med,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Moderate,Strong,Strong,Very Strong,,,,67,High,Low,Med,High,Med
M-P40940144,91,77,High,High,Med,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for External Customers,Strong,Moderate,Strong,Weak,Moderate,,,,67,Med,Med,High,Low,High
MP-R41001167,86,70,Med,High,Med,High,Med,Low,High,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Mandatory,Very Strong,,,,50,Low,Med,Med,High,High
MR-341061170,52,47,Low,Low,Low,Med,Low,Med,Med,Low,Med,Low,IT Waterfall traditional implementation,Support for Reducing Costs,Very Strong,Moderate,Strong,Weak,Moderate,No,,,50,Med,Low,Low,Med,Low
MR-I4069545,59,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Weak,Weak,Moderate,Moderate,Moderate,No,,,33,Low,Low,Low,Low,Low
MR-I40940145,42,77,Med,Low,Med,High,Med,High,High,Med,High,Med,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Strong,Weak,Weak,Weak,No,,,83,High,Med,Med,High,Low
MR-M40910408,69,77,Med,Med,Low,High,Med,High,High,Med,High,Med,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Moderate,Strong,Strong,Very Strong,,,,67,High,Low,Med,High,Med
MR-N40940143,37,53,Med,Med,Med,Low,Med,Low,Low,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Moderate,Strong,Strong,Strong,Weak,,,,50,Low,Med,Med,Low,Med
MR-P4054419,87,73,High,Med,Med,Med,High,Low,Med,High,Low,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Moderate,Weak,Strong,Strong,Very Strong,,,,50,Low,Med,High,Med,Med
MR-P4090970,55,73,High,Low,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Reducing Costs,Mandatory,Very Strong,Very Strong,Moderate,Strong,,,,50,Med,Low,High,Med,Low
MR-P40940146,44,80,High,Med,Med,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Moderate,Very Strong,,,,67,Med,Med,High,Med,Med
MR-S4069544,55,77,Med,Low,Med,High,Med,High,High,Med,High,Med,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Strong,Weak,Weak,Weak,No,,,83,High,Med,Med,High,Low
MR-V40910121,26,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Mandatory,Mandatory,Strong,Very Strong,Mandatory,Yes,,,33,Low,Low,Low,Low,Low
MS-240911440,89,80,High,Low,Low,High,High,Med,High,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Strong,Weak,Moderate,Moderate,No,,,50,Med,Low,High,High,Low
MS-D40922444,38,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for Internal Customers,Strong,Strong,Strong,Very Strong,Strong,,,,83,High,Med,Med,Low,Med
MS-M4090975,37,53,Med,Med,Med,Low,Med,Low,Low,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Moderate,Strong,Strong,Strong,Weak,,,,50,Low,Med,Med,Low,Med
MS-M40910409,77,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Mandatory,Mandatory,Very Strong,Very Strong,,,,83,High,Med,Med,Low,Med
MS-R40910419,65,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for Internal Customers,Strong,Strong,Strong,Very Strong,Strong,,,,83,High,Med,Med,Low,Med
MS-R40940147,65,67,High,Low,Low,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Strong,Very Strong,No,,,50,Med,Low,High,Low,Low
MS-S40940148,72,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Moderate,Weak,Moderate,Moderate,Moderate,,,,33,Low,Low,Low,Low,Low
MS-W39874239,73,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Weak,Weak,Moderate,Moderate,Moderate,No,,,33,Low,Low,Low,Low,Low
N-L40940150,73,40,Low,Low,Low,Low,Low,Med,Low,Low,Med,Low,Six Sigma Kaizen event,Support for External Customers,Moderate,Weak,Mandatory,Weak,Strong,,,,50,Med,Low,Low,Low,Low
NM-E40947161,37,57,Med,Low,Med,Med,Med,Low,Med,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Moderate,Strong,No,,,50,Low,Med,Med,Med,Low
NN-L40920222,53,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for Internal Customers,Strong,Strong,Strong,Very Strong,Strong,,,,83,High,Med,Med,Low,Med
NN-T40942152,62,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Moderate,Weak,Moderate,No,,,33,Low,Low,Low,Low,Low
PC-C38775571,59,80,High,Med,Med,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Moderate,Very Strong,,,,67,Med,Med,High,Med,Med
PC-P38733565,53,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Strong,Weak,Strong,Very Strong,No,,,33,Low,Low,Low,Low,Low
PD-Q38810575,74,57,Med,Low,Med,Med,Med,Low,Med,Med,Low,Med,IT Waterfall traditional implementation,Support for External Customers,Very Strong,Very Strong,Mandatory,Moderate,Strong,No,,,50,Low,Med,Med,Med,Low
PI-I38721562,40,60,High,Low,Low,Low,High,Low,Low,High,Low,High,IT Waterfall traditional implementation,Support for Increased Productivity,Moderate,Strong,Moderate,Weak,Moderate,Yes,,,33,Low,Low,High,Low,Low
PI-U38764569,28,80,High,Med,Med,Med,High,Med,Med,High,Med,High,Six Sigma Kaizen event,Support for Internal Customers,Weak,Weak,Weak,Strong,Weak,Yes,,,67,Med,Med,High,Med,Med
PM-G38777572,36,70,Med,Med,Low,Med,Med,High,Med,Med,High,Med,IT Waterfall traditional implementation,Support for Reducing Costs,Strong,Moderate,Weak,Moderate,Weak,,,,67,High,Low,Med,Med,Med
PM-S39147595,49,47,Low,Low,Low,Med,Low,Med,Med,Low,Med,Low,IT Waterfall traditional implementation,Support for Reducing Costs,Very Strong,Moderate,Strong,Weak,Moderate,No,,,50,Med,Low,Low,Med,Low
PN-P38621556,53,80,High,High,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Very Strong,Weak,Moderate,Very Strong,Yes,,,50,Med,Low,High,Med,High
R-C41001831,61,43,Low,Low,Med,Med,Low,Low,Med,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Weak,Very Strong,Strong,Strong,Moderate,No,,,50,Low,Med,Low,Med,Low
RM-24054629,33,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Six Sigma Kaizen event,Support for Increased Productivity,Mandatory,Mandatory,Strong,Very Strong,Mandatory,Yes,,,33,Low,Low,Low,Low,Low
RM-240911135,88,77,Med,Med,Low,High,Med,High,High,Med,High,Med,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Moderate,Strong,Strong,Very Strong,,,,67,High,Low,Med,High,Med
RM-A40665274,83,70,High,Med,Low,Low,High,Med,Low,High,Med,High,Six Sigma Kaizen event,Support for Reducing Costs,Strong,Moderate,Weak,Weak,Weak,,,,50,Med,Low,High,Low,Med
RM-B40296634,27,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Weak,Weak,Moderate,Moderate,Moderate,No,,,33,Low,Low,Low,Low,Low
RM-B40413646,54,67,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,IT Waterfall traditional implementation,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,[None],No,,,67,Med,Med,Med,Med,Med
RM-C40911812,52,47,Low,Low,Low,Med,Low,Med,Med,Low,Med,Low,IT Waterfall traditional implementation,Support for Reducing Costs,Very Strong,Moderate,Strong,Weak,Moderate,No,,,50,Med,Low,Low,Med,Low
RM-E40946157,54,70,Med,Med,Low,Med,Med,High,Med,Med,High,Med,IT Waterfall traditional implementation,Support for Reducing Costs,Strong,Moderate,Weak,Moderate,Weak,,,,67,High,Low,Med,Med,Med
RM-I39875240,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
RM-M40909337,39,67,High,Low,Low,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Strong,Very Strong,No,,,50,Med,Low,High,Low,Low
RM-P40360643,73,80,High,Med,Med,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Moderate,Very Strong,,,,67,Med,Med,High,Med,Med
RM-R40546258,67,73,High,Med,Med,Med,High,Low,Med,High,Low,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Moderate,Weak,Strong,Strong,Very Strong,,,,50,Low,Med,High,Med,Med
RM-R40546671,69,67,Med,Med,Med,Med,Med,Med,Med,Med,Med,Med,IT Waterfall traditional implementation,Support for Reducing Costs,Strong,Weak,Moderate,Moderate,[None],No,,,67,Med,Med,Med,Med,Med
RM-R40910124,36,67,High,Low,Low,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Strong,Very Strong,No,,,50,Med,Low,High,Low,Low
R-P41030833,88,77,Med,Med,Low,High,Med,High,High,Med,High,Med,Six Sigma Kaizen event,Support for Competitive Differentiation,Strong,Moderate,Strong,Strong,Very Strong,,,,67,High,Low,Med,High,Med
RP-C40911816,55,77,High,High,Med,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for External Customers,Strong,Moderate,Strong,Weak,Moderate,,,,67,Med,Med,High,Low,High
RP-E40969827,65,67,High,Low,Low,Low,High,Med,Low,High,Med,High,IT Waterfall traditional implementation,Support for Competitive Differentiation,Strong,Strong,Strong,Strong,Very Strong,No,,,50,Med,Low,High,Low,Low
RP-I40911813,28,47,Low,Low,Low,Med,Low,Med,Med,Low,Med,Low,IT Waterfall traditional implementation,Support for Reducing Costs,Very Strong,Moderate,Strong,Weak,Moderate,No,,,50,Med,Low,Low,Med,Low
RP-R40909796,46,,,,,,,,,,,,,,,,,,,,,,,,,,,
RP-R40909797,25,30,-,High,-,-,-,High,-,-,High,-,Six Sigma Kaizen event,Support for Reducing Costs,Very Strong,Strong,Moderate,Strong,Weak,No,,,50,High,-,-,-,High
RP-R40909798,49,33,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,IT Waterfall traditional implementation,Support for External Customers,Moderate,Weak,Moderate,Moderate,Moderate,,,,33,Low,Low,Low,Low,Low
RP-R40911814,56,80,High,Med,Med,Med,High,Med,Med,High,Med,High,Six Sigma Kaizen event,Support for Internal Customers,Weak,Weak,Weak,Strong,Weak,Yes,,,67,Med,Med,High,Med,Med
RR-A40911430,44,67,Med,Med,Med,Low,Med,High,Low,Med,High,Med,IT Waterfall traditional implementation,Support for Internal Customers,Strong,Strong,Strong,Very Strong,Strong,,,,83,High,Med,Med,Low,Med
RR-A41000830,45,80,High,High,Low,Med,High,Med,Med,High,Med,High,IT Waterfall traditional implementation,Support for Increased Productivity,Strong,Very Strong,Weak,Moderate,Very Strong,Yes,,,50,Med,Low,High,Med,High
RR-C40518253,61,40,Med,Low,Low,Low,Med,-,Low,Med,-,Med,Six Sigma Kaizen event,Support for Reducing Costs,Mandatory,Very Strong,Strong,Strong,Strong,,,,17,-,Low,Med,Low,Low
